IATA Codes
TSU
BBG
AAK
NIK
NKD
HBB
NND
NOM
NOO
MWP
NPG
NRY
OFU
AAU
FGI
MXS
RMT
RVV
APK
HHZ
NAU
TKV
PUK
NUK
ZTA
KHZ
FAC
FHZ
RKA
TJN
NIU
RRR
KXU
NKP
UAP
UAH
TTI
TPX
UOA
VHZ
NUG
UCC
MTV
SLH
TOH
EAE
CCV
LOD
SSR
PBJ
LPM
LNB
MWF
LNE
NUS
RCL
TGH
ULB
VLS
WLH
SWJ
OLJ
AUY
AWD
DLY
FTA
IPA
UIQ
NWT
HLU
IOU
PUV
PDC
ASG
CMV
DGR
WHO
GBZ
GMN
WIK
KBZ
KKO
MTA
MFN
MZP
PCN
RAG
SZS
TMZ
KTF
TKZ
THH
WTZ
NLN
BZF
OAA
BIN
BST
CCN
SBF
DAZ
FAH
FBD
GZI
KWH
GRG
KHT
URN
LQN
OAS
OAH
SGA
TII
TQN
OAZ
ZAJ
OCS
SLF
ZUL
OGE
OGM
DEF
OMI
IFH
AJK
SNX
HDR
RUD
KLM
BSM
JAR
LFM
KHY
ACP
PFQ
IMQ
JSK
OMF
OKV
OLQ
BYB
AOM
OMN
OMY
ONB
RMB
FAU
RNM
JNJ
LKW
OMM
OHS
SUH
DDU
BHW
BNP
WGB
CHB
DBA
DDU
JIW
HDD
KDD
KBH
OHT
LRG
MPD
NHS
ORW
PAJ
SBQ
SWN
TLB
BDN
TFT
WAF
BMN
NJF
OSE
OSG
OTT
OTY
OUM
OXO
EAB
BYD
BUK
KAM
MYN
UKR
IHN
SYE
ACU
AIL
CTE
MPP
PYC
NMG
PYV
BFQ
ELE
OTD
SAX
AKB
PML
BVU
BMX
CEM
CIK
CYF
IRC
CXF
CYT
RDB
KKH
EEK
EAA
WWT
NIB
FMC
FWL
GBH
KWK
SHG
GLV
BGQ
NME
SGY
HUS
SHX
IGG
MCL
WAA
KGK
KDK
KFP
AKK
KPN
KKA
LKK
IKO
UUK
KAL
KYK
KLN
KLG
DQH
WCR
KMO
MDO
LMA
SMK
MLY
MOU
MXY
WNA
NNL
NUL
KNW
OBU
PCA
HNH
OOK
NLG
KPV
PKA
PIP
PHO
PPC
KWN
RSH
SLQ
SOV
SMU
UMM
SKW
TAL
TNC
TLA
AUK
UMT
UNK
WOW
VAK
KVC
VEE
WBQ
WMO
PCO
PCQ
PDI
PDR
MFT
AKI
AET
PFC
NCN
CLP
ELI
KUK
KNK
KOT
KTS
KYU
KWT
ORV
SKK
TKJ
WSN
CPN
EMI
ERE
ESA
GAR
GOE
BPD
BPK
NWT
SGK
KII
AKG
TAJ
AWB
BAA
CVB
GMI
GVI
HYF
IHU
IIS
JAQ
KDR
KKD
KUY
KWO
LMI
LMY
OBX
SKC
TFI
TFM
TLO
UKU
ULE
WPM
PGE
PGM
ENI
LUP
PAK
BHC
CWP
GRT
HRA
KCF
REQ
RZS
ENT
PLE
TNV
TNQ
PMM
PMP
PPX
HUC
XSO
PUA
BFA
OLK
PBT
PCJ
KIO
RAA
RAW
RAX
RBP
GNI
TXG
WOT
RDV
RHT
MUS
RBJ
AXJ
CHN
CHF
QJP
QDY
HMY
RKU
RKY
RLP
RMD
RMP
KJP
AGJ
HTR
BSI
CYU
SGL
MLP
CDY
IPE
IAO
RZP
RPV
RRM
NGK
KDY
DLR
VUS
RUU
RVC
LPS
MJR
JNI
LCM
RAF
HOS
CVH
GNR
SAM
CRR
RLO
SAS
CLX
ELO
LLS
MDX
EMX
IGB
OES
MQD
ARR
SGV
ROY
GGS
JSM
RYO
CSZ
OVR
VIU
AAX
BJP
CFB
CFC
CLV
BYO
ESI
GPB
GVR
ITR
JJG
JDO
LEC
PHB
BRB
SMT
UNA
TOW
TSQ
ZUD
LOB
WAP
WPA
DPB
COW
FRT
FFU
LSQ
CPP
ZLR
OVL
ZPC
MHC
PUX
VAP
TNM
SMB
SSD
WCA
CPQ
QCJ
OLC
SOD
QDC
SDI
JLS
QOA
QGC
QNV
OUS
OIA
QHB
QIQ
REZ
QSC
UBT
ITP
QGS
VOT
QGB
GPS
IBB
JIP
LGQ
PYO
SUQ
PTZ
SCY
BHA
TSC
TPN
LOH
ESM
SFU
CIO
ENO
FLM
PJC
SIC
LVR
FRC
SIZ
JUA
CFO
NPR
RIG
ARS
ACM
ECO
ARO
JUO
SJR
NPU
PCC
SQF
AYI
ACL
CUI
MOY
EUO
PRE
SQE
TAU
AYC
DZI
DZI
SJH
BHF
GGL
UNC
AYA
NBB
MND
NAD
GCA
SRO
BAC
CQT
ELJ
LMC
SOH
URI
ECR
MQR
ISD
AZT
HRR
SQB
LPE
ARF
MFB
MHF
CSR
LPE
ACR
ACD
AFI
CPB
COG
CCO
CIM
RAV
CUO
FDA
LGT
CPL
HTZ
IGO
LQM
LPD
MFS
MTB
NCI
NQU
ORC
PLT
NAR
PBE
RVE
SSL
SOX
SRS
TIB
TDA
TLU
TRB
URR
VGZ
PYA
AYG
MHW
APB
ASC
CAM
CCA
CEP
GYA
BVK
SLJ
SJS
SJB
SJV
MGD
PUR
SRD
RBO
RIB
REY
SRJ
SNG
SNM
SRB
MQK
UYU
VAH
ABN
TOT
DRJ
SMH
MOJ
ICK
SMP
OEM
SMZ
AGI
ORG
APY
APQ
AMJ
AIF
BDC
BVM
BRA
BSS
BMS
BQQ
CTP
CPU
QCH
RDC
LEP
DTI
DIQ
CNV
SXX
GUZ
GDP
GNM
QGP
IRE
QIG
QIT
IPU
JCM
FEC
JEQ
JNA
JDR
CMP
CDI
QCP
SSO
MTE
MVS
SBJ
PTQ
NNU
PSW
FEJ
ORX
PCS
POJ
PIV
SNQ
FLB
PDF
CAU
SFK
TXF
OBI
TFL
VAL
QID
BVS
CMC
PHI
ITI
GMS
PPY
ITE
BXX
GTA
SOA
GSI
MPY
LDX
REI
XAU
SOR
YIN
JIL
