iata,icao,airport_name,location,gps
LBP,unknown,unknown,unknown,unknown
LLM,unknown,unknown,unknown,unknown
MZS,unknown,unknown,unknown,unknown
SPT,unknown,unknown,unknown,unknown
WKR,unknown,unknown,unknown,unknown
CXY,unknown,unknown,unknown,unknown
PWN,unknown,unknown,unknown,unknown
GBI,unknown,unknown,unknown,unknown
WTD,unknown,unknown,unknown,unknown
MYK,unknown,unknown,unknown,unknown
PID,unknown,unknown,unknown,unknown
RCY,unknown,unknown,unknown,unknown
MYS,unknown,unknown,unknown,unknown
MYX,unknown,unknown,unknown,unknown
NTC,unknown,unknown,unknown,unknown
IBO,unknown,unknown,unknown,unknown
TGS,unknown,unknown,unknown,unknown
MZE,unknown,unknown,unknown,unknown
CYD,unknown,unknown,unknown,unknown
IMI,unknown,unknown,unknown,unknown
BQI,unknown,unknown,unknown,unknown
AIT,unknown,unknown,unknown,unknown
AIU,NCAT,Enua Airport,"Atiu, Cook Islands",19.96778°S 158.12000°W
MGS,unknown,unknown,unknown,unknown
MHX,unknown,unknown,unknown,unknown
MUK,NCMK,Mauke Airport,unknown,20.13667°S 157.34472°W
MOI,unknown,unknown,unknown,unknown
PZK,unknown,unknown,unknown,unknown
PYE,unknown,unknown,unknown,unknown
NDI,unknown,unknown,unknown,unknown
NDN,unknown,unknown,unknown,unknown
EPG,unknown,unknown,unknown,unknown
ICI,unknown,unknown,unknown,unknown
PTF,unknown,unknown,unknown,unknown
RBI,unknown,unknown,unknown,unknown
KDV,unknown,unknown,unknown,unknown
MNF,unknown,unknown,unknown,unknown
MFJ,unknown,unknown,unknown,unknown
LEV,unknown,unknown,unknown,unknown
NGI,NFNG,Gau Airport,unknown,18.11556°S 179.33972°E
LUC,unknown,unknown,unknown,unknown
LKB,unknown,unknown,unknown,unknown
TVU,unknown,unknown,unknown,unknown
KXF,unknown,unknown,unknown,unknown
RTA,unknown,unknown,unknown,unknown
SVU,unknown,unknown,unknown,unknown
VAU,unknown,unknown,unknown,unknown
KAY,unknown,unknown,unknown,unknown
ONU,unknown,unknown,unknown,unknown
YAS,unknown,unknown,unknown,unknown
EUA,unknown,unknown,unknown,unknown
NFO,unknown,unknown,unknown,unknown
NTT,unknown,unknown,unknown,unknown
VBV,unknown,unknown,unknown,unknown
VTF,unknown,unknown,unknown,unknown
PHG,unknown,unknown,unknown,unknown
ABF,unknown,unknown,unknown,unknown
BEZ,unknown,unknown,unknown,unknown
KUC,unknown,unknown,unknown,unknown
MNK,unknown,unknown,unknown,unknown
MZK,unknown,unknown,unknown,unknown
MTK,unknown,unknown,unknown,unknown
NIG,unknown,unknown,unknown,unknown
OOT,unknown,unknown,unknown,unknown
AEA,unknown,unknown,unknown,unknown
TMN,unknown,unknown,unknown,unknown
NON,unknown,unknown,unknown,unknown
AIS,unknown,unknown,unknown,unknown
TSU,unknown,unknown,unknown,unknown
BBG,unknown,unknown,unknown,unknown
AAK,unknown,unknown,unknown,unknown
NIK,unknown,unknown,unknown,unknown
NKD,unknown,unknown,unknown,unknown
HBB,unknown,unknown,unknown,unknown
NND,unknown,unknown,unknown,unknown
NOM,unknown,unknown,unknown,unknown
NOO,unknown,unknown,unknown,unknown
MWP,unknown,unknown,unknown,unknown
NPG,unknown,unknown,unknown,unknown
NRY,unknown,unknown,unknown,unknown
OFU,unknown,unknown,unknown,unknown
AAU,unknown,unknown,unknown,unknown
FGI,unknown,unknown,unknown,unknown
MXS,unknown,unknown,unknown,unknown
RMT,unknown,unknown,unknown,unknown
RVV,unknown,unknown,unknown,unknown
APK,unknown,unknown,unknown,unknown
HHZ,NTGH,Hikueru Airport,unknown,17.54778°S 142.61278°W
NAU,unknown,unknown,unknown,unknown
TKV,unknown,unknown,unknown,unknown
PUK,NTGQ,Pukarua Airport,"Pukarua, Tuamotu, French Polynesia",18.29556°S 137.01694°W
NUK,NTGW,Nukutavake Airport,"Nukutavake, Tuamotu, French Polynesia",19.28500°S 138.77194°W
ZTA,unknown,unknown,unknown,unknown
KHZ,unknown,unknown,unknown,unknown
FAC,unknown,unknown,unknown,unknown
FHZ,unknown,unknown,unknown,unknown
RKA,unknown,unknown,unknown,unknown
TJN,unknown,unknown,unknown,unknown
NIU,unknown,unknown,unknown,unknown
RRR,NTKO,Raroia Airport,unknown,16.04694°S 142.47694°W
KXU,unknown,unknown,unknown,unknown
NKP,unknown,unknown,unknown,unknown
UAP,unknown,unknown,unknown,unknown
UAH,unknown,unknown,unknown,unknown
TTI,unknown,unknown,unknown,unknown
TPX,unknown,unknown,unknown,unknown
UOA,unknown,unknown,unknown,unknown
VHZ,NTUV,Vahitahi Airport,unknown,18.78000°S 138.85306°W
NUG,unknown,unknown,unknown,unknown
UCC,unknown,unknown,unknown,unknown
MTV,unknown,unknown,unknown,unknown
SLH,unknown,unknown,unknown,unknown
TOH,unknown,unknown,unknown,unknown
EAE,unknown,unknown,unknown,unknown
CCV,unknown,unknown,unknown,unknown
LOD,unknown,unknown,unknown,unknown
SSR,FIMP,Sir Seewoosagur Ramgoolam International Airport,Plaine Magnien,20.4300278°S 57.6830222°E
PBJ,unknown,unknown,unknown,unknown
LPM,unknown,unknown,unknown,unknown
LNB,unknown,unknown,unknown,unknown
MWF,NVSN,Maewo-Naone Airport,"Maewo, Vanuatu",14.99722°S 168.08111°E
LNE,unknown,unknown,unknown,unknown
NUS,unknown,unknown,unknown,unknown
RCL,unknown,unknown,unknown,unknown
TGH,unknown,unknown,unknown,unknown
ULB,unknown,unknown,unknown,unknown
VLS,unknown,unknown,unknown,unknown
WLH,unknown,unknown,unknown,unknown
SWJ,unknown,unknown,unknown,unknown
OLJ,unknown,unknown,unknown,unknown
AUY,unknown,unknown,unknown,unknown
AWD,unknown,unknown,unknown,unknown
DLY,unknown,unknown,unknown,unknown
FTA,unknown,unknown,unknown,unknown
IPA,unknown,unknown,unknown,unknown
UIQ,unknown,unknown,unknown,unknown
NWT,unknown,unknown,unknown,unknown
HLU,unknown,unknown,unknown,unknown
IOU,unknown,unknown,unknown,unknown
PUV,unknown,unknown,unknown,unknown
PDC,unknown,unknown,unknown,unknown
ASG,unknown,unknown,unknown,unknown
CMV,unknown,unknown,unknown,unknown
DGR,unknown,unknown,unknown,unknown
WHO,unknown,unknown,unknown,unknown
GBZ,unknown,unknown,unknown,unknown
GMN,unknown,unknown,unknown,unknown
WIK,unknown,unknown,unknown,unknown
KBZ,unknown,unknown,unknown,unknown
KKO,unknown,unknown,unknown,unknown
MTA,unknown,unknown,unknown,unknown
MFN,unknown,unknown,unknown,unknown
MZP,unknown,unknown,unknown,unknown
PCN,unknown,unknown,unknown,unknown
RAG,unknown,unknown,unknown,unknown
SZS,unknown,unknown,unknown,unknown
TMZ,unknown,unknown,unknown,unknown
KTF,unknown,unknown,unknown,unknown
TKZ,unknown,unknown,unknown,unknown
